feat\names,500,1000,1500,2500
annot:exact,3.15,4.354,5.268,5.619
annot:none,0.808,0.738,0.718,0.688
title:long,5.42,8.314,9.073,14.433
title:medium,83.471,54.421,18.145,14.685
title:none,0.587,0.516,0.483,0.474
title:short,30.353,18.947,12.399,10.813
vol:match,2.759,2.538,2.719,2.669
vol:none,0.282,0.298,0.296,0.316
yrPage:exact|false,2.186,2.43,2.292,2.512
yrPage:exact|true,106.235,82.639,86.946,48.771
yrPage:far|false,0.079,0.139,0.082,0.09
yrPage:far|true,1.751,1.163,1.592,2.964
yrPage:near|false,0.723,0.476,0.514,0.444
yrPage:near|true,13.279,8.062,9.829,12.123
yrPage:none|false,0.159,0.09,0.066,0.065
yrPage:none|true,0.253,0.15,0.22,0.132
