NameString,RefString
"Platypus evanidinervius Roberts & Morimoto, 1986",
Heteromyzidae,
Arhynchonemertes,
"Toxeutes (Catypnes) pascoei Lameere, 1904",
Stenostomum viscosum (Duchass. & Walp.) Griseb.,Griseb. In: Fl. Brit. W. I.: 334. (1861).
"Odontocera eirene Lacordaire, 1868",LACORDAIRE Jean Théodore. Histoire Naturelle des Insectes. Genera des Coléoptères ou exposé méthodique et critique de tous les genres proposés jusqu'ici dans cet ordre d'insectes. Paris. Librairie Encyclopédique de Roret. 8: 1-552. (1868).
Cineraria americana L.fil.,L. fil. In: Suppl. 873. (1782).
Ascarophis,
"Nesidiocoris poppiusi (Kiritshenko, 1961)","Kiritshenko, A. N. Synonymical notes on Heteroptera. Acta Entomologica Musei Nationalis Pragae 34: 443--444. (1961)."
Rhododendron trilectorum Cowan,Cowan. In: Notes Roy. Bot. Gard. Edinburgh 20(3): 144-145. (1953).
Erucaria cakiloidea (DC.) O.E.Schulz,
"Aphalara akebiae Shinji, 1944",
"Planococcus principe Cox, 1989",
"Lactarius necator f. nigrescens (Pers.) Courtec. & P.Roux, 2008",Courtec. & P. Roux. In: Docums Mycol. 34(nos 135-136):50. (2008).
Trichomanes ambiguum Mart. ex Kl.,Kl. In: Linn. 14: 287. (1840).
"Papuadytes nomax (J.Balfour-Browne, 1939)",
"Coelostoma (Coelostoma) injuratum J.Balfour-Browne, 1952","Balfour-Browne, J. Mission A. Villiers au Togo et au Dahomey (1950). VII. Coléoptères Hydrophilides. Bulletin de l'Institut Français d'Afrique Noire, 14 (1): 126-139. (1952)."
Ocotea gomezii W.Burger,"W. Burger. In: Fieldiana, Bot., 23: 81. (1990)."
"Euryarthrum atripenne Pascoe, 1866",
"Metaphycus euander Noyes, 2004","Noyes, J.S. Encyrtidae of Costa Rica (Hymenoptera: Chalcidoidea), 2. |Metaphycus| and related genera, parasitoids of scale insects (Coccoidea) and whiteflies (Aleyrodidae). JOURBOOK: Memoirs of the American Entomological Institute VOLUME: 73 PAGES: 459pp. (2004)."
"Isonomeutis amauropa Meyrick, 1887",
Reichardia tingitana discolor (Pomel) Batt.,
Dendrobium treubii J.J.Sm.,J.J.Sm. In: Orch. Ambon: 65. (1905).
"Bracon rotundulus Szepligeti, 1904","Szepligeti, G. Ubersicht der Gattungen und Arten der palaarktischen Braconiden. Mathemathische und Naturwissenschaftlichen Berichte aus Ungarn. 19(1901):145-203. (1904)."
"Sagola murchisonensis Park, Jong-Seok & Carlton, 2014","Park, Jong-Seok & C. E. Carlton. A revision of the New Zealand species of the genus Sagola Sharp (Coleoptera: Staphylinidae: Pselaphinae: Faronitae). Coleopterists Society Monograph, 13: 1-156. (2014)."
"Cantharellus sinuosus var. multiplex (A.H.Sm.) Romagn., 1995","Romagnesi, H. [Prodromus to an analytical flora of agaricoid hymenomycetes III. Fam. Cantharellaceae Schroeter]. In: Docums Mycol. 25(nos 98-100):419. (1995)."
"Mangilia cingulata Dall, 1890",
"Mycosphaerella teucrii (Unamuno) M.Morelet, 1968","Morelet, M. In: Ann. Soc. Sci. Nat. Arch. Toulon et du Var 20:106. (1968)."
Parinari griffithiana Benth.,"Benth. In: W.J.Hooker, Niger Fl.: 334. (1849)."
"Cortinarius brunneofulvus f. myrtillophilus Bidaud, 2009","Bidaud, A.; Moënne-Loccoz, P.; Reumaux, P.; Carteret, X. In: Atlas des Cortinaires (Meyzieu) 18(1, 2):1301. (2009)."
"Platysenta mobilis Walker, 1856",
Siler lancifolium Moench,Moench. In: Meth. 85. (1794).
"Polyporus aureonitens Pat., 1889","Patouillard, N.T. In: Rep. (Ann.) N.Y. St. Mus. nat. Hist. 42:121. (1889)."
Othonna filicaulis Jacq.,Jacq. In: Pl. Rar. Hort. Schoenbr. 2: 62. t. 241. (1797).
Falconiformes,
"Hydroptila jaruma Wells, 1990",
"Asplanchnopus dahlgreni Myers, 1934",
"Pseudochorthippus parallelus erythropus (Faber, 1958)",
"Agrilus vinctus Fisher, 1933",Fisher W. S. New species of buprestid beetles from Mexico and Central America. Proceedings of the United States National Museum (Number 2968) 82(27):1-47. (1933).
"Peregriana dolgini (Gundrizer & Starobogatov, 1979)",
"Notodysiferus dhondtae Alderslade, 2003",
"Rhizopus oryzae var. araneosus Y.Takeda, 1935","Takeda, Y. In: J. agric. Chem. Soc. Japan 11:911. (1935)."
Callicarpa oshimensis Hayata,Hayata. In: J. Coll. Sci. Imp. Univ. Tokyo 30(1): 221. (1911).
"Plectris andicola Frey, 1969",Frey G. Neue Macrodactylini. Entomologische Arbeiten aus dem Museum G.Frey 20:376-402. (1969).
"Macromerus flavocinctus Champion, 1905",
"Phylaitis pusio Pascoe, 1871",
"Sclerophthora northii (W.Weston) Thirum., C.G.Shaw & Naras., 1953","Thirum., C.G. Shaw & Naras. In: Bull. Torrey bot. Club 80:300. (1953)."
"Euneophlebia spatulata Berio, 1972",
"Cerambyx farinosus Fabricius, 1781","FABRICIUS Johann Christian. Species insectorum exhibentes eorum differentias specificas, synonyma auctorum, loca natalia, metamorphosin adiectis observationibus, descriptionibus. Hamburgi et Kilonii: Carol Ernest Bohnii 1: iii-viii + 1-552. (1781)."
"Psaenythia solani Schrottky, 1907",
"Corticium confine var. confine Bourdot & Galzin, 1911",Bourdot & Galzin. In: Bull. Soc. mycol. Fr. 27(2):260. (1911).
"Penicillium glycyrrhizicola A.J.Chen, 2012","Chen, A.J.; Tang, D.; Zhou, Y.Q.; Sun, B.D.; Li, X.J.; Wang, L.Z.; Gao, W.W. Identification of ochratoxin A-producing fungi associated with fresh and dry liquorice. In: PLoS ONE 8(10):e78285, 3. (2012)."
Typha minor (L.) Sm.,Sm. In: Fl. Brit. 3: 960. (1804).
"Strongylosoma japonicum Peters, 1864",
"Pseudobagrus fui Miao, 1934",
"Chalcophora liberta (Germar, 1824)","Germar E. F. Insectorum species novae aut minus cognitae, descriptionibus illustratae, Volume 1, Coleoptera. Halae, Hendel, 624 pp. (1824)."
"Tasmanoonops inornatus Hickman, 1979","Hickman, V. V. Some Tasmanian spiders of the families Oonopidae, Anapidae and Mysmenidae. Papers and Proceedings of the Royal Society of Tasmania 113: 53-79. (1979)."
Methanopyraceae,
Aleuria,
"Passalus (Didimus) knutsoni Aurivillius, 1886",
"Pneumoderma violaceum d'Orbigny, 1835",
"Favolaschia zenkeriana (Singer) Singer, 1974","Singer, R. In: Beih. Nova Hedwigia 50:40. (1974)."
Ceanothus hypericoides L'Her. ex DC.,DC. In: Prod. 2: 32. (1825).
"Lepturgus argentinus Berg, 1889",BERG Frederico Guillermo Carlos. Quadraginta Coleoptera nova Argentina. Anales de la Universidad de Buenos Aires 6: 105-157. (1889).
"Satrapes maghrebinus Yélamos, 1997","Yélamos, T. Description of a new species of Satrapes Schmidt, 1885 with proposed phylogeny of the Palearctic genera of Hetaeriinae (Coleoptera: Histeridae). Sessió Conjunta d'Entomologia, ICHN-SCL, vol. 9. (1997)."
"Tabanus recedens Walker, 1854",
Neotrichina,
"Pterostichus (Myosodus) lacunosus (Chaudoir, 1844)",
"Hyposmochoma costimaculata Walsingham, 1907",
Melampyrum bosniacum Ronniger,Ronniger. In: Mitt. Naturw. Ver. Steierm. 54: 294. (1918).
"Ambulyx phalaris carycina Jordan, 1919",
"Microbotryum scabiosae (Sowerby) G.Deml & Prillinger, 1991","Prillinger, H.; Deml, G.; Dörfler, C.; Laaser, G.; Lockau, W. Ein Beitrag zur Systematik und Entwicklungsbiologie höherer Pilze: Hefe-Typen der Basidiomyceten. Teil II: Microbotryum-Typ. In: Bot. Acta 104(1):10. (1991)."
Orchis bifolia var. macroglossa Wallr.,Wallr. In: Sched. Crit.: 486. (1822).
